@RELATION svmforemotions
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Happy,Boredom,Disgust,Fear,Neutral,Sad,Anger}

@DATA
0.131797,0.006717,2.706925,0.231364,0.213758,0.925211,0.021045,0.195662,-28.312035,1.804061,0.053562,0.011281,-0.275576,0.162752,0.005490,-0.091070,-0.030964,0.014455,-0.093741,0.026693,-0.125692,0.016018,0.003523,0.045915,0.016438,0.017526,0.007768,0.051914,0.004395,0.008545,0.016136,0.021646,0.004267,0.027985,0.122432,0.011779,0.652619,0.106635,0.041674,0.704177,0.018057,0.196972,4.022503,1.276038,0.919390,0.567433,0.419196,0.444223,0.362314,0.306185,0.414464,0.296706,0.357595,0.244012,0.236754,0.020197,0.003486,0.057014,0.025047,0.024943,0.010707,0.073944,0.008407,0.011601,0.024306,0.025021,0.005106,0.021451,Happy
0.134887,0.015556,2.686107,0.260408,0.241436,0.968221,0.019081,0.248063,-27.873008,1.689536,0.014945,0.068043,-0.347133,-0.128548,-0.249155,-0.190327,-0.277908,-0.032635,-0.139716,0.032195,-0.123688,0.015694,0.002925,0.034971,0.012810,0.012284,0.024893,0.050707,0.002656,0.021440,0.019588,0.016588,0.006146,0.035365,0.111601,0.024658,0.644351,0.097124,0.040311,0.657163,0.017153,0.231673,3.973209,0.884188,1.092491,0.550679,0.383228,0.382002,0.445829,0.382302,0.393633,0.287190,0.428073,0.425921,0.418483,0.028085,0.004321,0.056424,0.017063,0.015142,0.045248,0.075531,0.004658,0.031981,0.031148,0.021744,0.012060,0.022600,Happy
0.161259,0.012682,2.535685,0.250704,0.219066,1.049320,0.016133,0.243817,-28.576188,1.523989,-0.139831,0.070963,-0.107843,0.122274,-0.050561,-0.094156,-0.067485,0.028776,-0.174196,-0.072187,-0.142728,0.015038,0.006952,0.032839,0.016082,0.013806,0.009691,0.039467,0.004443,0.013165,0.017792,0.020626,0.006387,0.024883,0.155486,0.020202,0.563302,0.122338,0.043951,0.780056,0.010706,0.239755,4.504520,1.316531,1.197267,0.573715,0.496850,0.379429,0.346329,0.370835,0.315564,0.274830,0.330135,0.319138,0.246397,0.020288,0.010467,0.042762,0.025087,0.021414,0.016904,0.076498,0.006183,0.021274,0.026180,0.021673,0.006276,0.022039,Happy
0.151476,0.011119,2.659988,0.259741,0.218782,1.147423,0.025253,0.272219,-28.599027,1.477172,0.321147,-0.175433,-0.343906,0.188098,-0.000904,-0.021805,0.032777,0.010735,-0.181969,-0.000391,-0.167113,0.022395,0.005060,0.019433,0.014770,0.018178,0.009770,0.041336,0.003712,0.005500,0.017261,0.030199,0.004219,0.026684,0.148620,0.015352,0.457582,0.131728,0.031761,0.908743,0.024414,0.248970,3.342338,1.307629,0.807058,0.544704,0.446635,0.297840,0.287222,0.297988,0.264642,0.260913,0.262439,0.204583,0.304731,0.034132,0.007709,0.023066,0.025106,0.026509,0.015181,0.057901,0.008289,0.007295,0.025798,0.037286,0.007166,0.021506,Happy
0.150876,0.013762,2.965824,0.263956,0.240196,0.898911,0.021241,0.199708,-28.652421,1.875880,0.404202,0.295363,-0.189627,-0.265441,-0.000471,0.123442,-0.194780,0.066468,-0.077213,0.102201,-0.076967,0.022236,0.003956,0.048494,0.018645,0.033479,0.022277,0.057483,0.001383,0.004685,0.009056,0.014091,0.004175,0.035381,0.152195,0.012979,0.326374,0.108827,0.027605,0.642722,0.014650,0.221098,2.468134,0.885810,0.658690,0.386302,0.449291,0.267313,0.240934,0.291937,0.273706,0.300116,0.273754,0.232989,0.252889,0.027049,0.006927,0.033770,0.031521,0.030076,0.036605,0.060472,0.002129,0.006165,0.013615,0.015115,0.005972,0.016326,Happy
0.162015,0.015325,2.890726,0.276258,0.231595,0.981974,0.017465,0.270708,-26.372327,1.662802,0.243286,-0.172105,-0.300317,-0.191433,-0.217805,-0.163430,-0.309519,-0.209928,-0.291222,0.040137,-0.102308,0.021742,0.002823,0.023484,0.024384,0.029132,0.020875,0.036865,0.002631,0.007418,0.012218,0.009824,0.006438,0.030205,0.178062,0.015150,0.561950,0.147665,0.039300,0.738450,0.013332,0.275354,2.859266,1.325530,0.688491,0.546758,0.373445,0.448720,0.368407,0.400059,0.368651,0.384180,0.488875,0.415075,0.381171,0.039821,0.004686,0.035074,0.037202,0.037565,0.036482,0.059831,0.004362,0.010597,0.024366,0.015636,0.008288,0.018072,Happy
0.129251,0.029116,2.660094,0.239812,0.221590,0.757920,0.025863,0.191750,-26.561445,1.960061,0.631967,-0.264915,-0.319264,-0.061444,-0.203707,0.031344,-0.140076,-0.089962,-0.253526,-0.156487,-0.369123,0.045911,0.009740,0.051742,0.018848,0.008845,0.010663,0.044632,0.001136,0.004923,0.013932,0.018734,0.010397,0.037446,0.119345,0.033401,0.653031,0.110225,0.030034,0.665620,0.018183,0.200835,3.314829,1.089446,0.745744,0.460135,0.508873,0.326685,0.466980,0.285570,0.313281,0.328613,0.322536,0.269336,0.303791,0.039500,0.014439,0.051964,0.033196,0.010996,0.024426,0.086191,0.001649,0.007147,0.019386,0.025157,0.015732,0.024918,Happy
0.083605,0.032443,2.831519,0.199558,0.214317,0.602519,0.031793,0.146125,-28.147634,1.885267,0.304705,0.192602,0.070676,0.167384,0.097898,0.057873,-0.144158,-0.117040,-0.094239,0.106890,0.070899,0.007212,0.002042,0.018045,0.011138,0.027063,0.013021,0.143191,0.002599,0.002603,0.016294,0.045826,0.001813,0.054442,0.085216,0.034572,0.453866,0.096241,0.031540,0.612458,0.028603,0.174509,3.893841,1.205452,0.704406,0.652714,0.381722,0.300845,0.249066,0.314763,0.293193,0.376568,0.272508,0.222781,0.249108,0.009618,0.005346,0.017215,0.021093,0.041963,0.025023,0.141523,0.005259,0.003483,0.020514,0.035492,0.003158,0.031491,Happy
0.085325,0.019598,2.854617,0.194421,0.216345,0.520567,0.033707,0.141771,-28.085503,2.354788,0.321522,-0.076376,-0.160887,-0.030945,-0.055433,-0.054056,-0.250513,-0.244848,-0.302449,-0.145819,-0.184302,0.021344,0.003273,0.038093,0.027074,0.013079,0.006724,0.080088,0.005995,0.002521,0.015785,0.052964,0.002937,0.045173,0.080390,0.022961,0.420631,0.091131,0.052721,0.393446,0.024907,0.151214,3.506024,0.759132,1.102233,0.531539,0.433151,0.375065,0.344741,0.341596,0.254634,0.286815,0.283702,0.274877,0.309608,0.023955,0.006885,0.042608,0.025814,0.013048,0.009210,0.115587,0.019231,0.003322,0.024577,0.044373,0.004042,0.027389,Happy
0.096636,0.011246,2.975541,0.207269,0.219178,0.655060,0.033748,0.147781,-28.176925,1.982113,-0.034206,0.143769,-0.184439,0.102808,-0.107523,-0.144777,-0.233641,-0.326195,-0.368479,-0.080019,-0.215863,0.025780,0.003606,0.047271,0.029105,0.017023,0.011527,0.050698,0.002707,0.004453,0.013680,0.026696,0.002338,0.038260,0.105968,0.017743,0.350973,0.097697,0.047200,0.593622,0.034501,0.181336,4.722134,1.166973,0.988672,0.514164,0.468713,0.366253,0.242009,0.285306,0.332131,0.364990,0.389478,0.375289,0.376260,0.047188,0.004775,0.074507,0.053525,0.020241,0.019690,0.080345,0.006733,0.005745,0.016745,0.047604,0.003762,0.028154,Happy
